id_aero,nom_aero,ville_aero,pays_aero,gmt_aero
640,Bardufoss Airport,Bardufoss,Norway,1
641,"Harstad/Narvik Airport, Evenes",Harstad/Narvik,Norway,1
642,Leirin Airport,Fagernes,Norway,1
643,Florø Airport,Floro,Norway,1
644,Oslo Lufthavn,Oslo,Norway,1
645,Haugesund Airport,Haugesund,Norway,1
646,Hasvik Airport,Hasvik,Norway,1
647,Kristiansund Airport (Kvernberget),Kristiansund,Norway,1
648,Kjeller Airport,Kjeller,Norway,1
649,Kirkenes Airport (Høybuktmoen),Kirkenes,Norway,1
650,Lista Airport,Farsund,Norway,1
651,Molde Airport,Molde,Norway,1
652,Mosjøen Airport (Kjærstad),Mosjoen,Norway,1
653,Banak Airport,Lakselv,Norway,1
654,Notodden Airport,Notodden,Norway,1
655,Ørland Airport,Orland,Norway,1
656,Røros Airport,Roros,Norway,1
657,"Moss Airport, Rygge",Rygge,Norway,1
658,"Svalbard Airport, Longyear",Svalbard,Norway,1
659,Skien Airport,Skien,Norway,1
660,Stord Airport,Stord,Norway,1
662,Sandnessjøen Airport (Stokka),Sandnessjoen,Norway,1
663,"Tromsø Airport,",Tromso,Norway,1
664,"Sandefjord Airport, Torp",Sandefjord,Norway,1
665,Trondheim Airport Værnes,Trondheim,Norway,1
666,Stavanger Airport Sola,Stavanger,Norway,1
667,Babice Airport,Warsaw,Poland,1
668,Gdańsk Lech Wałęsa Airport,Gdansk,Poland,1
669,Kraków John Paul II International Airport,Krakow,Poland,1
670,Muchowiec Airport,Katowice,Poland,1
671,Katowice International Airport,Katowice,Poland,1
673,Mielec Airport,Mielec,Poland,1
674,Poznań-Ławica Airport,Poznan,Poland,1
675,Rzeszów-Jasionka Airport,Rzeszow,Poland,1
676,"Szczecin-Goleniów ""Solidarność"" Airport",Szczecin,Poland,1
677,Redzikowo Air Base,Slupsk,Poland,1
678,Swidwin Military Air Base,Shapaja,Poland,1
679,Warsaw Chopin Airport,Warsaw,Poland,1
680,Copernicus Wrocław Airport,Wroclaw,Poland,1
681,Zielona Góra-Babimost Airport,Zielona Gora,Poland,1
682,Malmen Air Base,Linkoeping,Sweden,1
683,Bråvalla Air Base,Norrkoeping,Sweden,1
684,Uppsala Airport,Uppsala,Sweden,1
685,Ronneby Airport,Ronneby,Sweden,1
686,Råda Air Base,Rada,Sweden,1
687,Gothenburg-Landvetter Airport,Gothenborg,Sweden,1
688,Jönköping Airport,Joenkoeping,Sweden,1
689,Falköping Airport,Falkoping,Sweden,1
690,Lidköping-Hovby Airport,Lidkoping,Sweden,1
691,Gothenburg City Airport,Gothenborg,Sweden,1
692,Skövde Airport,Skovde,Sweden,1
693,Trollhättan-Vänersborg Airport,Trollhattan,Sweden,1
694,Karlsborg Air Base,Karlsborg,Sweden,1
695,Såtenäs Air Base,Satenas,Sweden,1
696,Barkarby Airport,Stockholm,Sweden,1
697,Karlskoga Airport,Karlskoga,Sweden,1
698,Mora Airport,Mora,Sweden,1
699,Stockholm Skavsta Airport,Stockholm,Sweden,1
700,Arvika Airport,Arvika,Sweden,1
701,Emmaboda Airfield,Emmaboda,Sweden,1
702,Feringe Airport,Ljungby,Sweden,1
703,Kristianstad Airport,Kristianstad,Sweden,1
704,Landskrona Airport,Landskrona,Sweden,1
705,Oskarshamn Airport,Oskarshamn,Sweden,1
